Date,Site,ppt
8/30/17 20:00,F,5.0967
8/31/17 0:00,F,5.0982
8/31/17 4:00,F,5.0964
8/31/17 8:00,F,5.0975
8/31/17 12:00,F,5.0963
8/31/17 16:00,F,5.0958
8/31/17 20:00,F,5.096
9/1/17 0:00,F,5.098
9/1/17 4:00,F,5.0972
9/1/17 8:00,F,5.0959
9/1/17 12:00,F,5.0985
9/1/17 16:00,F,5.0979
9/1/17 20:00,F,5.0988
9/2/17 0:00,F,5.1013
9/2/17 4:00,F,5.1032
9/2/17 8:00,F,5.1036
9/2/17 12:00,F,5.104
9/2/17 16:00,F,5.1034
9/2/17 20:00,F,5.104
9/3/17 0:00,F,5.1034
9/3/17 4:00,F,5.1015
9/3/17 8:00,F,5.101
9/3/17 12:00,F,5.101
9/3/17 16:00,F,5.1011
9/3/17 20:00,F,5.103
9/4/17 0:00,F,5.1021
9/4/17 4:00,F,5.1003
9/4/17 8:00,F,5.1037
9/4/17 12:00,F,5.1032
9/4/17 16:00,F,5.1044
9/4/17 20:00,F,5.1022
9/5/17 0:00,F,5.1048
9/5/17 4:00,F,5.1044
9/5/17 8:00,F,5.1044
9/5/17 12:00,F,5.1044
9/5/17 16:00,F,5.1044
9/5/17 20:00,F,5.1046
9/6/17 0:00,F,5.1039
9/6/17 4:00,F,5.1053
9/6/17 8:00,F,5.1042
9/6/17 12:00,F,5.1041
9/6/17 16:00,F,5.1034
9/6/17 20:00,F,5.0973
9/7/17 0:00,F,5.0993
9/7/17 4:00,F,5.1019
9/7/17 8:00,F,5.1032
9/7/17 12:00,F,5.1002
9/7/17 16:00,F,5.1015
9/7/17 20:00,F,5.1005
9/8/17 0:00,F,5.0989
9/8/17 4:00,F,5.1026
9/8/17 8:00,F,5.1039
9/8/17 12:00,F,5.1021
9/8/17 16:00,F,5.1005
9/8/17 20:00,F,5.1013
9/9/17 0:00,F,5.096
9/9/17 4:00,F,5.0956
9/9/17 8:00,F,5.0977
9/9/17 12:00,F,5.0965
9/9/17 16:00,F,5.0955
9/9/17 20:00,F,5.095
9/10/17 0:00,F,5.0959
9/10/17 4:00,F,5.0974
9/10/17 8:00,F,5.0972
9/10/17 12:00,F,5.0972
9/10/17 16:00,F,5.0961
9/10/17 20:00,F,5.0963
9/11/17 0:00,F,5.0938
9/11/17 4:00,F,5.0972
9/11/17 8:00,F,5.0989
9/11/17 12:00,F,5.099
9/11/17 16:00,F,5.0973
9/11/17 20:00,F,5.0986
9/12/17 0:00,F,5.0945
9/12/17 4:00,F,5.0949
9/12/17 8:00,F,5.0949
9/12/17 12:00,F,5.0956
9/12/17 16:00,F,5.0963
9/12/17 20:00,F,5.0964
9/13/17 0:00,F,5.0966
9/13/17 4:00,F,5.0985
9/13/17 8:00,F,5.0991
9/13/17 12:00,F,5.0979
9/13/17 16:00,F,5.0956
9/13/17 20:00,F,5.097
9/14/17 0:00,F,5.0979
