Site,Number,Treatment,Spp,TIME_1,STATUS_1,TIME_2,STATUS_2,TIME_F,STATUS_F
M,17,CT,PA,121,1,81,2,442,2
M,17,CC,IF,121,1,88,1,449,1
M,17,CC,BH,121,1,88,1,449,1
M,17,CC,PV,121,1,88,1,449,1
M,17,CC,PA,121,1,88,1,449,1
M,17,CG,IF,121,1,88,1,449,1
M,17,CG,BH,121,1,88,1,449,1
M,17,CG,PV,121,1,88,1,449,1
M,17,CG,PA,120,2,72,2,192,2
M,18,CT,IF,121,1,88,1,449,1
M,18,CT,BH,5,2,0,2,5,2
M,18,CT,PV,121,1,12,2,373,2
M,18,CT,PA,121,1,88,1,449,1
M,18,CC,IF,121,1,88,1,449,1
M,18,CC,BH,5,2,0,2,5,2
M,18,CC,PV,121,1,12,2,373,2
M,18,CC,PA,121,1,88,1,449,1
M,18,CG,IF,121,1,88,1,449,1
M,18,CG,BH,5,2,0,2,5,2
M,18,CG,PV,121,1,88,1,449,1
M,18,CG,PA,121,1,88,1,449,1
M,19,CT,IF,121,1,88,1,449,1
M,19,CT,BH,5,2,0,2,5,2
M,19,CT,PV,120,2,88,1,208,2
M,19,CT,PA,121,1,88,1,449,1
M,19,CC,IF,121,1,88,1,449,1
M,19,CC,BH,5,2,0,2,5,2
M,19,CC,PV,121,1,88,1,449,1
M,19,CC,PA,121,1,88,1,449,1
M,19,CG,IF,121,1,88,1,449,1
M,19,CG,BH,5,2,0,2,5,2
M,19,CG,PV,121,1,72,2,433,2
M,19,CG,PA,121,1,81,2,442,2
M,20,CT,IF,121,1,88,1,449,1
M,20,CT,BH,120,2,45,2,165,2
M,20,CT,PV,121,1,88,1,449,1
M,20,CT,PA,121,1,12,2,373,2
M,20,CC,IF,121,1,88,1,449,1
M,20,CC,BH,121,1,88,1,449,1
M,20,CC,PV,121,1,88,1,449,1
M,20,CC,PA,99,2,0,2,99,2
M,20,CG,IF,121,1,88,1,449,1
M,20,CG,BH,121,1,88,1,449,1
M,20,CG,PV,121,1,88,1,449,1
M,20,CG,PA,121,1,0,2,241,2
,,,,,,,,,2
